Employee_ID;Salary;Deparment
13323;4612;7
12186;6789;7
62162;1943;4
9668;6446;6
92643;7013;7
93428;1565;6
17099;2284;3
24027;7476;6
46695;6604;6
91322;3875;3
17804;4704;1
3035;5110;7
94295;3989;7
92484;5226;6
54127;2826;3
62001;1706;2
54217;7749;7
91944;5007;4
82604;8864;2
98433;7711;5
65034;4972;5
11250;8275;6
56596;5726;1
27263;6511;6
46172;4751;3
65595;7381;3
82322;3907;5
30246;4479;2
89034;6557;4
40018;4803;2
58564;2256;3
71840;6857;5
80418;5169;1
58509;1495;1
32596;1856;6
23907;9843;5
41718;8723;2
96601;7733;5
8565;8098;6
63800;7054;5
80143;6262;7
6383;1334;3
51140;3422;7
66222;5621;3
4463;2217;2
86195;5978;3
15383;8585;5
78414;6687;7
71105;5419;2
83215;4850;1
58699;3459;4
42371;1802;2
68980;8165;1
24367;2183;6
14430;7256;1
79553;2438;2
96915;4475;1
55407;1171;5
93806;4888;1
5644;1963;2
57004;8205;6
24558;4028;5
34632;2905;3
91129;8344;6
65760;3624;4
78438;1573;6
84421;5628;3
80668;8700;5
15645;5003;1
24084;3807;4
75795;2391;7
51955;3126;5
87186;5317;7
96047;5728;2
23356;5177;7
11032;7454;5
14156;6682;4
11435;7975;6
34468;4558;3
6551;3351;7
90058;1194;2
52262;9949;6
88720;7330;6
71594;3719;1
52765;6461;4
69268;6541;6
95395;8710;5
8678;3241;7
18005;6608;3
81342;2729;4
54571;7203;6
13718;9102;5
2757;7940;2
73915;5525;4
5066;3667;6
65584;8730;7
48752;4823;3
90860;3212;3
3839;9025;5
86278;4379;4
61590;1893;1
11895;7627;3
35067;3891;6
6263;6761;1
89922;2705;6
66755;2261;3
79488;7421;4
94317;5719;5
69069;8456;1
6418;3891;7
26382;1076;7
30667;3749;1
46608;7535;2
72328;9734;2
77891;7861;2
96675;6240;3
51489;5018;5
37779;7256;7
60783;8628;4
61060;2473;3
43325;8258;5
30794;7055;2
90735;2878;7
42051;7934;4
93860;6239;5
21668;5114;1
83364;6672;1
85689;8373;6
44309;6890;6
79210;3450;6
7810;5286;4
68547;7101;4
92640;1854;5
44921;4432;6
94462;1366;5
96379;7885;4
62499;8893;4
51846;9159;7
60161;5551;2
95197;7893;3
4954;1205;2
48146;7413;5
68368;7610;7
10149;3530;4
30917;3739;2
57335;4384;6
40777;3986;2
86527;1337;3
41660;4659;4
57748;9613;1
14145;8226;5
59187;4844;2
13356;2074;2
20136;1735;1
48283;2521;5
82895;6532;4
31735;5871;3
12683;8381;3
2263;2471;2
24126;2717;1
8687;4315;5
39184;2818;7
37702;7491;1
49355;5360;4
85892;4468;4
22569;4872;7
6973;2175;7
28815;2836;3
84932;3012;7
41708;2971;6
33161;2126;6
53802;6211;5
60565;8134;3
98096;3477;1
95412;1670;4
45381;3856;1
29468;2949;3
71391;2571;2
9260;4189;7
23246;8898;3
89307;7301;2
60291;6177;7
1191;9205;5
76838;5080;2
14821;1246;6
22526;3943;5
4541;4054;3
5778;2253;6
12450;4144;6
32253;3274;4
27974;7496;3
24014;5594;1
37226;4443;1
54388;1168;7
86274;7421;6
50641;6227;6
64204;4932;5
80096;9969;5
24352;6749;6
59972;1416;2
9017;9762;1
91122;1266;4
6456;8061;2
36152;1788;6
13267;3177;5
64227;8785;6
97137;5878;5
52089;8508;3
35426;7987;1
30154;9601;4
82540;6781;3
74249;6943;6
7856;4583;5
56103;7480;1
62326;8783;6
4794;4895;1
98255;4902;1
92110;6124;4
13126;4532;5
67969;7589;6
35422;6675;4
68847;1727;2
40871;2635;4
63734;5340;3
93211;6323;1
26450;6674;3
7181;6785;3
57946;4219;1
98926;5386;5
22790;3400;3
61003;9248;4
16635;9870;1
15195;3261;6
35332;1579;5
51720;5588;1
28089;1964;3
32171;2388;4
90418;5164;6
75858;5922;3
19485;8898;5
90506;2713;4
39207;9468;2
64181;1828;1
45487;8159;5
43372;4416;1
27507;1281;5
56734;4937;6
79490;6365;1
19062;5566;5
73423;6243;4
46286;5680;6
15375;8433;5
8519;5031;1
55403;3622;2
99094;7561;2
49341;4821;7
77687;4078;5
46130;1971;6
1559;7206;1
40283;5103;2
41411;7588;4
33165;6046;4
84639;3493;6
37012;4330;7
47360;2029;5
39096;1442;5
3616;6148;5
58047;5796;7
54946;7896;7
58718;9574;1
12889;2669;6
72228;2717;6
11606;1363;1
34793;2524;4
88584;4553;7
79527;8036;5
75275;2234;7
70651;5282;4
14493;6442;3
17247;1430;5
68359;6766;1
33893;8962;4
64526;2601;1
66705;2641;2
73236;8665;6
77211;8702;3
19830;1083;6
59980;9938;2
59546;4658;3
80450;6643;2
45752;4316;6
40599;6363;1
55454;1184;4
15672;9112;3
51977;7268;3
16848;1281;7
68048;9730;7
75190;3946;1
36832;6024;6
33345;8583;7
1672;5898;1
65213;9620;6
55242;5423;3
47381;2924;7
60065;1627;1
34424;9147;4
83795;1696;1
25101;4979;6
85997;7402;3
94330;5801;5
20458;1534;5
26269;9326;6
6422;4500;3
8876;7957;7
69802;2157;3
8614;2198;7
34391;8173;2
48842;5825;6
1998;9423;2
11433;2806;2
47880;7106;7
34868;6968;6
19311;7790;7
4190;7715;4
4102;7401;4
31625;8469;3
22673;3691;1
83880;4907;1
5797;9064;7
29621;5179;1
98545;5279;4
81685;8956;2
43813;8844;4
82173;2368;5
29070;6708;5
25404;1469;3
8751;6704;7
665;5775;3
74504;9076;6
51597;6754;7
48396;8500;6
71295;6986;1
88421;8357;1
55975;2987;6
6807;7976;6
70594;6689;5
83512;4763;1
42155;1080;6
72482;4945;2
57106;9747;6
89807;5538;6
74992;3576;4
13806;4480;2
1078;8459;2
37315;8697;2
58615;9264;3
30595;4577;3
62668;4757;1
43985;7113;2
5740;4509;7
93318;1237;6
4469;9016;1
91202;3173;6
61356;2485;7
4655;3397;4
93333;2387;6
72355;7590;7
35343;3318;5
38293;8404;3
28129;7751;4
33140;8305;5
31172;2488;1
55505;6047;7
62024;1252;4
69239;4340;2
40645;6017;4
34846;7170;7
82202;1585;4
8582;1506;5
94492;3017;4
3342;2363;2
56574;2370;2
8917;9158;3
2064;8441;4
89845;6305;4
87395;7037;6
12698;2059;4
63944;9781;1
45616;6654;7
88319;6898;5
56063;3032;6
50786;5052;7
65782;4706;4
23583;4055;3
85270;4927;1
37101;4289;3
12513;6374;2
68384;4329;7
64501;3958;7
49814;2286;5
66336;7479;6
34972;4054;2
9981;2032;4
464;8295;1
82374;7425;1
74850;5350;4
50570;1093;5
98908;3988;4
9991;7251;7
72685;8469;4
7098;5253;5
78334;5215;4
196;4245;3
35679;5905;5
80452;3481;3
12915;4116;7
45688;7403;4
62152;6811;6
30524;5062;7
50579;6454;5
62850;8044;1
39056;5705;1
73815;1676;2
34412;4260;1
92490;1449;1
83466;1493;7
44631;4526;5
74773;3119;2
35514;1945;1
45933;2658;4
72315;5410;3
82951;3579;7
71056;7650;5
73424;3756;3
78846;6721;7
16970;5251;2
95338;3886;5
54814;7924;7
27789;8865;6
14074;3513;2
73209;8693;6
78854;6792;6
23319;8865;3
20196;3298;1
72115;1237;2
56121;3088;1
75603;2810;3
33373;8112;5
36056;4814;2
57424;8802;2
