Employee_ID;Salary;Department
6346;6801;6
5670;1087;5
3876;7676;7
2979;1937;5
3481;8457;0
26;9295;4
1140;9563;6
4805;2895;6
3979;9046;2
9241;3480;7
8984;4071;1
637;7222;6
6110;3836;2
8619;6663;7
3831;6656;3
1931;3520;6
5976;5649;1
5738;6736;2
9929;1811;6
2006;8745;0
5659;2304;6
3875;2595;2
861;1308;2
1317;8442;4
5974;1515;1
2550;3612;4
3752;3421;0
1877;6908;5
3631;7186;6
6322;4635;1
6598;6515;2
2465;9913;0
8372;7176;0
6697;4469;4
513;2099;6
7291;2899;2
9615;6751;1
4417;8185;4
9953;8525;4
4277;8376;5
8071;1099;7
6729;7036;6
1117;7818;2
7927;2791;7
7093;5964;1
8421;4891;2
7296;9430;3
6253;8091;5
3119;4629;7
1397;2134;3
4707;9235;7
4638;2337;4
9383;9021;1
7353;7782;2
8770;4734;3
1007;1818;7
9409;1456;2
8701;3463;6
1248;2286;5
6720;6147;5
7838;7772;0
7221;5187;4
379;5103;0
5472;1074;4
8762;1636;0
6277;1517;5
1238;5526;7
5607;7148;1
6103;8955;7
3337;8557;4
7806;2627;6
7392;4636;5
1669;6730;7
5400;1319;2
8084;6007;4
6557;2215;7
5793;2157;5
3571;4030;0
916;1935;0
9102;8391;4
3598;1626;2
9036;7410;1
5048;9635;4
8134;1062;0
4367;6271;2
4633;6454;3
2113;4881;2
5428;2662;6
726;3826;3
1160;8192;0
293;7316;2
7644;5119;3
5084;4279;0
3019;5850;2
4154;3165;3
8119;9426;0
2526;3695;2
6343;9475;7
9514;8667;6
6617;8973;2
5611;8777;1
129;5812;2
1371;5113;1
773;2328;1
5363;5307;4
4143;1575;0
4920;8556;2
6047;4919;2
1758;3369;6
6947;1551;4
506;3105;1
1446;1509;5
9170;1073;1
3623;1992;0
2655;6342;5
4561;5947;5
3515;5818;0
7471;3836;3
3683;4754;4
8363;4109;6
7028;7149;1
8324;1325;7
4427;7390;3
8075;6401;0
4852;7552;7
3354;9867;5
2565;7881;6
598;4794;2
2268;8882;4
7941;6320;5
8358;5347;1
416;3416;0
848;1128;0
7966;8911;2
8818;2697;6
4150;2568;6
7301;9580;0
3772;7242;5
3953;1370;2
6792;1732;2
9971;8851;7
74;7764;2
1518;4572;0
5302;5835;0
7759;5351;4
9734;7788;6
7358;6796;0
6391;7649;3
1496;3659;7
3675;3586;5
4449;2058;6
6249;3143;0
2839;7732;0
7277;2609;1
4552;9011;0
2905;5047;7
9391;9524;2
4128;4045;6
4360;8612;5
4743;2025;2
7866;9107;0
1721;5980;6
503;7607;1
7450;8639;7
6679;4351;4
9701;7762;2
1641;2628;1
4217;2393;6
2810;8232;1
713;4498;1
7306;3971;6
6915;2613;0
5345;2861;6
2913;5827;3
6855;4736;4
7195;8752;2
8723;1062;6
2865;8403;4
305;2116;7
8054;2670;5
8053;4553;4
1391;5190;2
8449;3630;6
9123;9274;6
2827;1921;3
7702;1906;6
448;6785;7
6876;3397;0
7025;2968;3
2401;4948;5
1093;2651;1
3920;4184;6
6254;8568;6
4362;6563;5
2197;5688;5
5282;8303;5
4742;5683;6
5781;3010;5
6358;9434;5
