Employee_ID;Salary;Department
55122;7218;5
67955;2024;1
28824;6237;7
73713;5816;6
44402;2761;5
40418;7721;1
26128;3564;3
42039;6373;5
47122;4963;6
46045;3133;7
54953;8778;4
24089;2270;7
12289;1670;3
43435;3030;6
25874;8717;4
29423;7645;2
80;5095;3
18064;3024;3
6958;6718;4
37008;8678;1
33254;5682;6
26847;6168;7
60903;3327;4
64818;8097;1
47810;1063;2
25334;1369;5
24517;3284;4
97683;6578;5
31765;7788;1
17599;8108;1
90930;3241;4
2227;3735;2
71949;4398;5
16212;2351;1
81417;8706;1
68486;6536;3
53416;5910;2
49540;1971;3
97519;4495;4
39458;1095;7
67486;4581;2
99003;4876;5
8483;5052;1
10291;6675;5
49937;5897;1
19544;6623;5
59502;4297;4
63715;8937;1
97659;2844;1
71221;6627;6
47313;7694;3
92317;6678;5
83902;1580;3
59533;8919;2
87010;1652;4
9334;5322;2
66507;3047;1
40831;7155;4
58269;3422;3
83975;2596;3
33036;6513;6
3467;2106;3
11704;8481;4
51532;3443;5
73168;8505;7
72099;7560;7
61839;1777;3
73590;4491;4
59566;6181;5
13543;6798;2
91853;8246;7
13682;1466;7
69312;3746;5
4658;7168;3
94400;5409;5
21198;1341;5
56115;4442;5
28353;6473;6
71760;7346;2
93292;8860;7
8353;7948;2
49735;5469;2
27632;3988;6
62277;5954;5
64742;3585;7
72749;7922;5
20232;8957;1
75877;1160;5
64845;7312;3
48926;3908;2
71520;4872;4
38137;3408;4
983;1708;2
17626;5409;4
16904;8914;5
35584;8984;3
69255;7414;3
68560;3925;2
48197;6045;1
2457;1797;5
82550;2201;2
3445;6509;3
53530;5504;1
3398;5923;1
998;7338;7
22131;2195;2
97179;1461;6
56541;2609;3
37131;2566;2
89178;2222;3
91948;2409;5
6399;6598;3
63010;6953;3
8256;6800;5
80744;1469;2
56098;1074;7
10875;3930;7
72640;4446;2
76043;7561;1
90988;8250;2
43914;4235;4
16260;2594;6
48503;6662;6
75644;5043;3
36134;1517;7
37622;1566;5
9957;8817;7
14434;3169;7
63005;5159;1
78802;4561;6
18964;2417;7
99041;3982;6
29217;8775;1
98022;6343;5
41723;2057;3
1923;1514;1
54957;1240;7
83763;5271;1
1850;1171;4
77400;6815;5
43092;3519;7
390;5930;1
13914;7112;2
16902;6377;1
33530;2434;7
65145;8520;1
60231;6387;7
80895;5501;3
43688;4541;5
22852;1476;2
8191;2650;7
15420;4799;7
96082;2983;3
43633;1923;3
36630;5340;2
43799;4671;6
9112;8504;1
18113;6456;1
5788;5941;6
97982;8420;2
48239;8161;3
10538;7153;2
29777;7673;7
4856;7418;1
55843;2235;3
1115;4263;5
91659;8509;5
32691;1848;1
90469;3666;7
7935;2261;5
37930;2062;1
58455;3051;4
90268;8305;1
65381;7071;6
34819;1038;6
15059;8779;5
73004;7736;3
83769;5254;4
10571;2188;7
90795;8847;7
30391;5889;5
77666;1474;6
15673;1470;7
84249;3970;1
80153;5186;1
88659;3597;4
32349;2798;1
74551;4740;6
27909;8749;1
32920;7338;7
90192;7111;6
92166;2553;1
83282;1634;7
82504;4101;5
62155;3013;5
18850;2342;1
40314;6120;6
65024;7737;7
14192;8982;1
96712;5789;6
87779;4017;2
64027;4706;4
26831;2002;7
70150;1650;6
43687;2407;6
29758;8383;3
1642;6577;6
62799;6394;3
74612;8953;4
14205;2410;6
60905;2718;1
49064;7236;3
46916;8357;3
85401;6468;1
12886;4893;7
25466;3325;7
93998;2717;3
96187;3640;5
26795;8106;5
59363;2457;3
97133;8682;7
30032;8862;4
50146;4659;4
84622;8098;3
28566;1798;3
38832;1604;5
45024;8814;6
47572;2857;6
26521;2774;6
76121;8817;3
63280;1871;6
12615;2920;6
23850;1114;1
13687;6194;4
20626;7578;2
3168;2654;1
86697;4136;4
28862;1431;4
49615;5504;7
60621;2850;4
20608;7866;2
82251;6650;5
93993;3798;1
75919;1643;3
49512;5118;2
49124;1426;5
30351;8607;6
83683;7660;1
18170;7764;2
17571;5004;3
64719;1189;1
25898;1841;4
26529;8050;7
98773;8715;6
17818;8138;5
39626;2061;1
56492;6609;3
16471;4062;5
67628;8319;6
46653;7783;3
44429;3245;5
94206;7341;5
21366;4711;3
15920;4369;3
55023;6861;4
67763;8842;2
27739;3145;4
7279;6381;3
98194;8678;4
39124;7468;4
23158;1690;3
51079;4997;1
34724;6409;3
2485;3525;4
24416;6593;6
49529;7232;7
21924;1283;2
40668;4855;7
8255;1157;5
80462;2936;5
91742;5254;7
784;3635;7
88454;1953;5
54083;4050;1
13254;6187;1
98771;8568;1
79232;7818;2
18076;6840;6
36804;1465;2
26484;4048;4
8591;2360;3
50334;6326;6
96478;7691;4
48379;8649;4
89616;1883;2
62336;5392;7
65401;6012;6
52480;8421;2
77587;1474;3
30938;7810;5
58973;7934;6
59338;8406;3
41949;5145;7
60933;4600;4
33386;8114;1
5949;6049;5
63066;4414;3
34918;8040;3
54841;4894;2
42565;5158;7
50667;2305;2
43312;3831;6
30212;6791;4
43868;8809;7
97914;8806;4
5509;8346;4
9938;8499;7
43758;3910;5
89051;2475;2
39497;4443;1
49525;2241;2
1766;5970;7
930;4227;7
24835;1929;6
1423;3787;6
76095;8652;7
26919;5611;3
95700;8680;1
32857;6348;7
27749;2333;1
40268;7666;6
81728;6215;4
45175;2509;3
2377;3559;5
57014;2653;4
81945;8987;6
22263;5474;2
81723;1858;7
53655;7120;7
87959;7738;2
85712;4320;5
85219;5924;5
76617;1075;2
53762;8312;3
97276;8925;4
39794;1198;4
28519;7662;6
27611;2882;5
86998;6852;5
98519;4436;3
41896;6611;2
52682;7652;4
63030;5637;2
68866;7782;5
42205;1747;7
57772;7016;7
35374;3022;4
37792;8531;4
14529;2513;4
52135;3881;1
10647;5468;4
65758;1293;4
48278;4213;4
24534;7527;1
35251;8435;1
66561;7751;1
50787;6995;2
76110;1407;6
74378;2408;2
69604;6871;6
52307;3230;7
86600;3365;5
49436;8563;3
52163;8533;3
20336;1727;4
49383;4007;4
31366;8588;7
74878;2468;7
22500;7805;3
13705;3588;7
91006;7014;3
95626;4817;2
64887;4727;6
32198;6236;3
69152;5018;6
20063;2007;1
2336;7653;3
31297;6133;6
25511;1984;1
10221;5733;6
2665;2940;5
15300;6368;1
43472;7908;1
49185;6762;2
87981;6609;6
63175;5211;7
78458;6357;6
95572;2052;1
59660;7174;1
40594;8137;3
85994;3996;3
53690;5350;2
33041;2597;3
61521;3588;2
46780;2087;1
53053;3928;7
31034;5264;5
55005;6613;3
1170;4058;3
97861;4128;4
64059;7536;5
70241;6058;2
43835;7014;3
36460;3013;1
30959;8492;6
89607;4071;2
13532;3372;3
97639;2427;4
94894;1288;6
86246;6211;5
83271;7727;1
17149;2419;7
