Employee_ID;Salary;Department
1;4677;7
2;8737;7
3;4527;4
4;2368;1
5;6945;3
6;5088;7
8;5539;4
9;6765;7
10;2649;2
11;1448;6
12;8750;5
13;1717;6
14;8391;5
15;2038;7
16;7587;3
17;6630;3
18;1516;1
20;1132;5
21;1227;2
22;6349;7
23;1920;4
24;4100;5
26;5177;3
27;3057;7
28;1019;1
29;3664;7
31;2317;5
32;8316;6
33;1756;7
34;2282;2
35;2950;4
37;3560;7
38;4394;7
39;1456;5
40;4556;7
41;7629;4
43;4626;1
44;3983;2
45;2204;1
46;1509;2
47;6619;3
48;3530;4
49;3228;2
50;2905;5
51;2113;3
52;3933;1
53;6168;5
54;2003;1
55;6769;5
56;8795;1
57;2142;1
58;3454;3
60;8358;3
61;1151;6
62;3346;1
63;5777;2
64;8664;3
65;8243;5
66;3698;2
67;5347;7
69;7174;6
70;7721;7
71;5914;3
72;1868;7
73;6755;6
75;1102;2
77;3043;3
78;2984;5
79;5055;2
81;8312;6
82;3841;5
83;3648;6
84;1445;4
85;2125;6
86;2748;6
88;8611;1
89;6687;3
90;5533;3
91;7443;4
92;6161;6
93;2808;7
94;2045;7
95;1480;1
96;5481;6
97;5436;5
98;5606;4
99;7458;3
101;1491;1
102;5490;6
103;8343;7
104;2862;3
105;4064;7
106;4428;7
107;4277;7
108;5071;4
109;4900;3
111;1523;2
112;1208;2
113;5843;5
114;4813;2
115;1628;5
117;4705;4
118;3187;1
119;3343;5
120;8856;6
121;7203;2
122;3441;2
123;5225;6
124;2497;3
125;2734;7
126;4574;7
127;5729;4
129;7992;2
130;1245;2
131;1341;6
132;5101;7
133;3332;4
134;1936;6
135;8119;5
136;7668;2
137;4638;6
138;3815;6
139;7119;7
140;2317;4
141;5927;7
142;5573;6
143;7251;7
144;1593;3
145;4821;7
146;3687;1
147;1737;1
148;6127;7
149;4556;6
151;4175;6
152;2749;6
153;2420;5
157;2564;3
158;8264;3
160;7278;1
162;4457;5
164;1889;2
165;3257;3
166;6905;5
167;6572;3
168;8816;3
169;5060;3
171;1651;5
172;2913;3
173;8062;3
174;2266;2
175;7416;3
176;7802;1
178;3966;1
179;8090;4
180;2435;1
181;1940;2
182;1410;5
183;7812;7
185;2802;7
186;7776;5
187;3874;5
188;3898;7
189;4565;1
190;7677;4
191;6739;3
192;8719;7
193;6145;4
194;3959;1
195;8038;3
196;8507;6
197;6868;3
200;4921;7
201;2283;4
203;3107;1
204;7277;3
205;2992;5
208;2413;4
209;7274;3
211;4888;1
212;3787;2
213;8910;2
214;5934;3
216;6888;6
217;6899;1
218;7493;4
219;1314;3
220;6469;4
222;2450;7
224;8069;5
225;6720;7
227;5222;7
228;1409;2
230;1211;6
231;3768;3
232;7908;6
233;1211;6
234;2021;4
236;1069;2
237;3151;3
238;4699;2
240;4066;4
241;1148;4
242;2538;4
243;1334;2
244;5727;5
245;8439;6
246;4990;7
247;8325;2
248;5353;4
249;3998;3
250;7899;3
251;5441;5
252;6477;5
253;8948;7
255;4113;6
257;8616;5
258;2942;4
259;7859;2
260;3276;7
261;5814;1
262;5259;5
263;5389;2
264;1872;1
265;8549;2
266;3847;2
267;7116;4
268;2838;2
269;3418;6
270;6594;4
271;7714;1
272;5633;6
273;7059;2
274;4735;7
275;5136;7
276;4389;1
277;7877;5
278;5855;6
279;8187;4
280;2014;6
281;6452;4
282;1847;5
283;1793;2
284;1582;3
285;8899;2
286;8887;3
287;8929;5
288;8480;7
289;5415;2
290;2801;1
291;4777;3
292;6926;2
293;6313;5
294;2031;5
295;2213;4
296;2167;5
297;2115;2
298;3112;5
299;8225;7
302;7392;7
303;2809;7
304;4430;3
306;5681;7
307;7820;7
311;1406;1
312;2584;3
313;5602;1
314;1514;3
316;4071;3
317;6287;5
318;5393;2
319;2035;1
320;5067;5
323;1948;3
324;4371;5
325;5109;5
326;7295;4
327;7811;4
328;6793;3
329;5430;4
330;1498;2
331;7856;1
332;8111;6
333;8854;3
334;3501;3
335;1402;5
336;6438;3
337;5701;1
338;1169;3
340;1928;2
341;7668;7
342;1915;3
343;5387;4
345;3485;3
346;5832;4
347;2198;4
349;1103;3
350;5780;3
351;2916;3
352;5106;2
353;7775;5
355;7093;1
356;2399;1
357;8626;5
358;1578;6
359;1399;4
360;1777;6
361;6002;5
362;6060;3
363;7259;4
364;5223;3
365;6315;7
366;3332;4
367;2282;1
368;5930;2
369;6403;3
370;4237;6
372;6934;3
374;5823;3
375;3714;6
376;4201;1
377;3603;7
379;2603;6
381;5353;1
382;7626;5
383;1241;5
384;6637;7
385;7613;7
386;8915;4
387;7562;4
388;4056;4
389;1097;5
390;5930;1
391;3497;4
392;5706;1
393;3420;5
394;6126;1
395;3784;7
396;7434;7
399;2953;2
400;1851;7
402;2200;6
403;3370;3
405;1380;2
406;7905;1
407;3119;6
408;7976;1
409;6014;6
410;2585;1
411;2724;4
414;4957;1
415;3657;1
416;7520;2
417;8747;5
418;5611;2
419;8848;7
420;8811;6
421;7799;3
422;3701;2
425;8238;4
426;1827;3
428;8941;3
429;1388;6
430;8493;6
431;6222;5
432;4398;6
433;8427;2
434;6175;3
435;2440;2
436;7478;4
437;7769;1
438;3861;1
439;1201;6
440;1200;7
441;8671;4
442;8279;2
443;6729;4
444;7623;6
445;1222;7
448;5892;1
449;8672;5
450;1779;6
451;1681;2
452;3115;4
453;3346;1
454;4135;1
455;4190;3
456;7983;6
457;2799;2
458;1758;6
459;1504;1
460;4536;6
461;7153;1
462;7411;2
463;5931;7
464;1676;4
465;3083;7
467;5990;3
468;2309;5
469;4236;1
470;6460;3
471;8575;3
472;7342;6
474;2343;4
475;1041;1
476;3738;6
477;3054;5
478;5307;4
479;8887;2
480;1617;6
481;8370;3
482;8124;6
483;7013;3
484;4242;3
486;8078;6
487;3999;1
489;7174;3
490;3570;7
491;2641;5
492;1059;7
493;3034;1
494;7154;2
495;7312;2
496;1019;6
497;4509;4
498;1194;7
499;2451;6
500;8739;2
501;8669;4
502;1379;3
503;6080;2
504;6774;4
507;5288;3
508;5202;7
509;4991;7
510;8902;3
511;5775;3
512;4072;6
514;1471;5
517;2719;1
518;3932;6
519;2564;3
520;5490;3
521;6368;7
522;4942;5
523;5944;4
524;2097;4
525;3839;3
526;7807;1
527;8922;7
528;1912;7
529;7147;4
531;7945;7
532;5711;6
533;8012;2
535;3340;3
537;5802;2
539;7827;2
540;5826;4
541;5302;3
