Employee_ID;Salary;Department
1;5296;5
2;6957;4
3;1556;5
4;7264;4
5;6184;1
6;2481;3
7;8500;1
9;9303;5
10;2146;7
11;4962;6
12;9257;2
14;5225;7
15;1964;3
16;5518;5
19;6608;2
20;3829;3
22;2842;3
23;2326;1
25;7871;6
26;3851;2
27;1361;4
28;3462;2
30;9813;1
31;1872;2
32;3027;5
33;2823;4
34;6656;7
36;9644;4
38;7060;2
41;5560;6
42;4149;5
43;6179;2
44;5453;7
45;2484;1
46;4961;7
47;1005;2
48;5771;3
50;9964;4
51;2178;7
52;2253;2
54;5556;5
55;4244;2
56;6492;2
57;4275;6
59;3641;6
62;1202;4
63;7711;4
64;1639;6
65;9500;2
66;3348;3
67;5776;2
68;4037;1
69;2693;0
71;9390;7
72;2659;6
73;9825;7
74;1633;5
75;9196;6
76;2969;2
78;4673;6
79;4746;2
82;3942;7
84;3358;5
85;9036;3
86;4734;2
87;3424;5
89;3051;4
91;4167;5
92;7233;3
93;6139;6
94;6653;4
95;9117;1
96;8144;6
97;6417;5
98;2738;5
99;9687;6
100;4054;6
101;8157;7
102;3376;1
103;4090;7
104;4444;3
105;5670;4
106;5184;7
107;3631;2
109;6351;1
110;8386;4
112;3818;2
113;8275;4
114;4817;4
116;3656;0
118;6790;2
119;3065;4
120;4066;5
121;1954;4
122;2138;3
124;8795;2
125;2886;3
128;2021;3
130;1876;3
133;7881;6
134;7634;2
135;3184;3
136;5345;4
138;3776;7
139;7602;5
140;5567;6
141;6303;4
142;5915;4
144;6030;1
145;1115;1
147;9344;5
148;1100;6
150;5250;6
151;2880;4
152;6180;3
155;4980;2
156;7991;2
158;1343;2
160;3074;3
161;9943;7
162;7668;2
163;1656;6
165;8660;3
166;1280;1
167;1578;1
168;7674;2
169;3875;4
170;4484;2
172;4222;3
173;6318;6
174;1785;1
175;3957;1
176;6161;6
177;4357;4
178;7330;6
179;5554;5
180;9357;5
181;6249;4
182;8273;1
183;7442;4
184;3309;2
185;9670;3
187;8111;2
188;8066;2
191;3521;7
192;8463;4
194;3400;5
197;3425;3
202;8815;3
204;5352;7
205;4154;7
206;2088;4
208;9193;1
209;5309;2
210;3227;4
211;1022;2
213;9882;5
214;1091;7
215;2649;0
216;2874;7
218;6696;4
219;2200;2
220;8854;3
223;7574;4
224;5553;1
225;9326;6
226;7393;7
227;6322;3
228;7569;6
229;7781;2
230;5501;6
231;5747;4
232;7102;1
233;4452;4
235;3214;5
236;3960;6
241;7017;7
242;7420;7
243;5793;3
244;2983;5
245;7043;4
247;7820;7
248;9037;6
250;9368;6
252;8786;4
254;7714;7
255;3526;6
257;7145;6
258;6174;3
259;8915;2
260;7163;5
261;2111;1
262;6313;6
263;9532;3
264;6599;6
265;5325;3
266;3177;3
267;8014;2
268;3327;5
270;6309;5
271;5593;7
275;7279;0
276;1257;3
277;3988;6
278;4363;1
279;1290;1
280;8257;3
281;6723;3
282;5898;2
283;2218;4
284;1175;3
285;1552;7
286;3348;2
287;5983;6
289;9921;3
290;4099;2
292;4573;5
293;6832;7
294;2111;7
295;2942;6
296;9332;1
297;8360;5
298;6165;2
299;1077;7
300;2886;2
301;3461;3
306;1377;6
308;4831;6
309;5167;5
310;4434;2
311;3099;4
313;7165;3
314;6227;1
315;4328;7
316;1275;1
317;6480;4
319;3373;3
320;3973;5
322;1475;7
323;3991;3
325;8332;7
326;5783;6
327;5988;4
328;5738;4
329;7558;7
330;7013;5
332;8695;7
333;6011;6
334;2129;7
335;7299;6
337;7475;7
338;5394;7
339;5559;4
340;4046;2
341;6220;6
342;4714;7
344;6556;4
345;2908;5
346;7688;7
347;1968;3
351;3680;1
352;2064;3
354;1646;3
355;9415;3
357;4447;6
358;4494;1
360;9147;3
362;3728;1
364;5819;7
365;5626;1
366;5472;6
367;4882;7
370;4418;2
372;5259;4
374;3746;4
375;8643;3
377;8243;5
378;9499;3
382;2561;4
383;7792;6
384;1529;2
385;2624;2
389;2992;7
390;8894;2
391;7758;3
392;2021;5
393;1373;4
394;6827;2
395;7892;0
396;5256;3
397;9092;1
398;3895;0
399;3966;4
400;5788;2
401;9358;6
402;2748;2
403;8757;2
404;2030;3
406;6422;2
407;6643;7
408;8353;4
409;7815;2
411;5004;4
412;2312;1
413;2081;6
415;1854;6
417;5497;5
418;1527;6
419;4259;5
420;5170;4
421;6884;4
422;5522;3
423;7439;7
424;1372;5
425;3803;4
427;9275;1
428;6513;7
429;2700;6
430;1288;6
431;4656;3
432;1082;1
433;5680;2
435;4775;1
436;9010;6
437;1656;1
438;1990;4
441;4076;6
442;2455;7
443;2161;0
445;3304;3
446;2420;7
447;4303;2
448;9224;1
449;9282;5
450;7350;3
452;4876;3
453;3272;3
454;2741;4
455;4798;1
456;6760;4
458;6048;7
459;3436;7
461;9186;7
462;6129;4
463;3591;4
465;2842;6
468;1371;7
469;8494;1
470;3707;4
472;7948;7
474;9934;7
475;9946;4
477;4101;6
479;4663;1
480;7458;7
481;1970;7
482;7615;5
484;8322;6
485;7775;4
486;1168;2
488;1699;2
489;4536;3
490;3327;2
491;6465;1
492;9812;0
494;8998;5
496;1082;3
497;8931;6
498;2575;3
499;2028;1
500;2740;7
501;6165;5
505;5171;5
506;1573;2
507;1194;5
509;1076;1
510;1967;2
511;5969;2
512;7266;3
514;9972;7
515;1613;5
516;8146;6
518;2995;5
520;2030;2
521;2090;6
522;3985;5
524;8653;7
526;9916;7
527;4636;7
528;4547;3
529;3362;2
532;2171;7
534;1166;3
536;5378;1
538;5365;4
540;6347;3
541;9534;1
544;2214;6
545;1384;1
547;6318;1
550;8987;2
551;1845;5
552;7508;2
553;3137;6
554;5578;6
555;4075;6
557;7998;6
558;8270;5
559;2523;4
560;8668;2
561;7489;2
562;2704;1
564;3415;1
566;7739;2
567;8319;2
568;5367;2
570;7863;1
571;5837;2
572;4376;3
574;3381;4
576;6745;0
577;9959;4
579;7340;7
580;5820;7
581;1398;5
585;2731;1
586;5775;4
589;2796;5
590;4287;1
591;9195;6
592;9691;4
593;2614;2
595;6886;0
596;3233;3
597;5088;0
598;9732;5
599;5046;6
601;3218;1
602;6792;2
603;7713;5
604;8565;2
605;8005;5
606;3303;1
607;5929;0
608;8303;1
